case_key,class,mode,unit_id,status,nA,nB,a_uids,b_uids,a_feat_ids,b_feat_ids,a_src_files,b_src_files,cas,oc,ar,area_a,area_b,area_intersection
2326975,Basal lymphoid aggregates,one_to_one,Basal lymphoid aggregates:pair_0,matched,1,1,2326975|0:B:14c5b84f-8d54-4f76-a937-dee3922d95d2,2326975|0:C:f2d5d03e-dc64-419d-8a6b-d2da78f89550,14c5b84f-8d54-4f76-a937-dee3922d95d2,f2d5d03e-dc64-419d-8a6b-d2da78f89550,C:\Users\Aditya\OneDrive\Documents\Academic\sem2\thesis\argument_score\AIIMS_G\AIIMS_G\Annotated\2326975\2326975-SC.geojson,C:\Users\Aditya\OneDrive\Documents\Academic\sem2\thesis\argument_score\DMC\DMC\2326975\2326975-SC.geojson,0.9435622150475265,0.9642857142857143,1.5172453973432767,833344.0,549248.0,529632.0
2326975,Basal lymphoid aggregates,one_to_one,Basal lymphoid aggregates:pair_1,matched,1,1,2326975|0:B:2609dd78-3c7b-4a3a-a26d-8fb0ac3b3329,2326975|0:C:71aff003-525a-45a1-b476-41e9e60dd606,2609dd78-3c7b-4a3a-a26d-8fb0ac3b3329,71aff003-525a-45a1-b476-41e9e60dd606,C:\Users\Aditya\OneDrive\Documents\Academic\sem2\thesis\argument_score\AIIMS_G\AIIMS_G\Annotated\2326975\2326975-SC.geojson,C:\Users\Aditya\OneDrive\Documents\Academic\sem2\thesis\argument_score\DMC\DMC\2326975\2326975-SC.geojson,0.7969371620615819,0.7976366322008862,1.0873858508042469,1065960.0,980296.0,781920.0
